Weekday,Arrival_date,Departure_date,Ship,Pier
Sa,06.07.13,06.07.13,MSC Poesia,Ostseekai
So,07.07.13,07.07.13,MSC Musica,Ostseekai
Di,09.07.13,09.07.13,Eurodam,Ostseekai
Di,09.07.13,09.07.13,Columbus 2,Norwegenkai
Di,09.07.13,09.07.13,Rotterdam,Ostseekai
Do,11.07.13,11.07.13,Ocean Majesty,Norwegenkai
Sa,13.07.13,13.07.13,Astor,Norwegenkai
Sa,13.07.13,13.07.13,MSC Poesia,Ostseekai
So,14.07.13,14.07.13,Mein Schiff 1,Ostseekai
So,14.07.13,14.07.13,MSC Musica,Ostseekai
Mi,17.07.13,17.07.13,FTI Berlin,Ostseekai
Do,18.07.13,18.07.13,Rotterdam,Ostseekai
Fr,19.07.13,19.07.13,Eurodam,Ostseekai
Fr,19.07.13,19.07.13,AIDAcara,Ostseekai
Sa,20.07.13,20.07.13,MSC Poesia,Ostseekai
So,21.07.13,21.07.13,Columbus 2,Norwegenkai
So,21.07.13,21.07.13,MSC Musica,Ostseekai
Mo,22.07.13,22.07.13,Mein Schiff 1,Ostseekai
Mo,22.07.13,22.07.13,Europa,Ostseekai
Mi,24.07.13,24.07.13,Ocean Majesty,Norwegenkai
Sa,27.07.13,27.07.13,MSC Poesia,Ostseekai
So,28.07.13,28.07.13,MSC Musica,Ostseekai
Fr,02.08.13,02.08.13,Mein Schiff 1,Ostseekai
Sa,03.08.13,03.08.13,MSC Poesia,Ostseekai
So,04.08.13,04.08.13,MSC Musica,Ostseekai
Mo,05.08.13,05.08.13,AIDAcara,Ostseekai
Sa,10.08.13,10.08.13,AIDAcara,Ostseekai
Sa,10.08.13,10.08.13,MSC Poesia,Ostseekai
Sa,10.08.13,10.08.13,Ocean Majesty,Norwegenkai
So,11.08.13,11.08.13,MSC Musica,Ostseekai
Mo,12.08.13,12.08.13,Mein Schiff 1,Ostseekai
Do,15.08.13,15.08.13,Costa Pacifica,Ostseekai
Sa,17.08.13,17.08.13,MSC Poesia,Ostseekai
So,18.08.13,18.08.13,MSC Musica,Ostseekai
