Weekday,Arrival_date,Departure_date,Ship,Pier
So,26.07.15,26.07.15,MSC Sinfonia,Ostseekai
Sa,01.08.15,01.08.15,AIDAluna,Ostseekai
Sa,01.08.15,01.08.15,MSC Orchestra,Ostuferhafen
So,02.08.15,02.08.15,Mein Schiff 4,Ostseekai
Mi,05.08.15,05.08.15,Costa Pacifica,Ostseekai
Sa,08.08.15,08.08.15,Eurodam,Ostseekai
Sa,08.08.15,08.08.15,AIDAcara,Sartorikai
Sa,08.08.15,08.08.15,AIDAluna,Ostseekai
Sa,08.08.15,08.08.15,MSC Orchestra,Ostuferhafen
Mo,10.08.15,10.08.15,Deutschland,Ostseekai
Mo,10.08.15,10.08.15,Hamburg,Norwegenkai
Mi,12.08.15,12.08.15,Mein Schiff 4,Ostseekai
Sa,15.08.15,15.08.15,AIDAluna,Ostseekai
Sa,15.08.15,15.08.15,MSC Orchestra,Ostuferhafen
So,16.08.15,16.08.15,Costa Pacifica,Ostseekai
Do,20.08.15,20.08.15,Queen Elizabeth,Ostseekai
Sa,22.08.15,22.08.15,Mein Schiff 4,Ostseekai
Sa,22.08.15,22.08.15,AIDAcara,Sartorikai
Sa,22.08.15,22.08.15,AIDAluna,Ostseekai
Sa,22.08.15,22.08.15,MSC Orchestra,Ostseekai
Mi,26.08.15,26.08.15,AIDAluna,Ostseekai
Do,27.08.15,27.08.15,Mein Schiff 1,Ostseekai
Do,27.08.15,27.08.15,Eurodam,Ostseekai
Do,27.08.15,27.08.15,Costa Pacifica,Ostuferhafen
Sa,29.08.15,29.08.15,MSC Orchestra,Ostuferhafen
So,30.08.15,30.08.15,Mein Schiff 4,Ostseekai
So,30.08.15,30.08.15,Astor,Norwegenkai
Mo,31.08.15,31.08.15,Europa,Ostseekai
Sa,05.09.15,05.09.15,AIDAcara,Ostseekai
Sa,05.09.15,05.09.15,MSC Orchestra,Ostuferhafen
So,06.09.15,06.09.15,MSC Sinfonia,Ostseekai
Mo,07.09.15,07.09.15,Mein Schiff 4,Ostseekai
Mo,07.09.15,07.09.15,Costa Pacifica,Ostseekai
Mi,09.09.15,09.09.15,Astor,Ostseekai
Sa,12.09.15,12.09.15,MSC Orchestra,Ostuferhafen
Sa,19.09.15,19.09.15,Europa,Ostseekai
Sa,19.09.15,19.09.15,AIDAcara,Ostseekai
Sa,19.09.15,19.09.15,MSC Orchestra,Ostuferhafen
Sa,03.10.15,03.10.15,AIDAcara,Ostseekai
Sa,17.10.15,17.10.15,AIDAcara,Ostseekai
Di,20.10.15,20.10.15,AIDAcara,Ostseekai
