Feature 1,Feature 2,R²,Adjustiertes R²,AIC,BIC,P-Wert (Feature 1),P-Wert (Feature 2)
Croissant,Kuchen,0.4372436432075585,0.4357944852072346,16859.43444253574,16879.690058381628,4.66804260300274e-72,1.50818666744296e-29
Croissant,Kuchen,0.43724015595122445,0.43579098897084134,16859.441686505488,16879.697302351375,4.198507495142621e-71,1.4737450662781694e-29
Croissant,Kuchen,0.43723954513551966,0.43579037658222064,16859.442955329443,16879.69857117533,9.641053890668676e-71,1.5073150198840335e-29
Croissant,Kuchen,0.43723831400864277,0.43578914228505994,16859.445512697737,16879.701128543624,2.434288895403948e-71,5.321809267638128e-29
Croissant,Kuchen,0.4372345881879647,0.4357854068699938,16859.453252154886,16879.708868000773,7.562912362479231e-71,1.5362920471568066e-29
Croissant,Kuchen,0.43722814168316615,0.4357789437647537,16859.466643029293,16879.72225887518,8.717439926982504e-72,1.491587684635122e-29
Croissant,Kuchen,0.43722511345572534,0.4357759077393023,16859.472933301808,16879.728549147694,7.251022887246224e-72,1.5087401429678125e-29
Croissant,Kuchen,0.43722392913643093,0.43577472037025866,16859.475393375687,16879.731009221574,5.429646199342504e-72,1.4959976939643116e-29
Brot,Broetchen,0.4361300404842353,0.43467801483741364,16861.745416438407,16882.001032284294,1.7875854467718257e-06,1.8165917847502682e-113
Brot,Broetchen,0.4353558392994106,0.43390182000146915,16863.349368592542,16883.60498443843,5.4203999135367393e-05,9.80053696091349e-123
Broetchen,Croissant,0.434573387915519,0.4331173537213101,16864.96818015013,16885.223795996015,1.0170081850383609e-24,0.02102238406813266
Broetchen,Konditorei,0.43422736189120137,0.43277043664285253,16865.683358196748,16885.938974042634,4.628981791363748e-137,0.031739535922616094
Broetchen,Croissant,0.43397444455478495,0.43251686801715783,16866.20581948512,16886.461435331006,5.798617881106752e-25,0.026161249807177597
Brot,Broetchen,0.43379402175850446,0.4323359806128182,16866.57838330155,16886.833999147435,3.2138732099212944e-06,2.865779125176218e-76
Broetchen,Konditorei,0.4337143977181104,0.43225615153197683,16866.742765103543,16886.99838094943,1.0522020184963528e-136,0.03571940170039551
Broetchen,Temp_Cold,0.43370587839549457,0.4322476102711912,16866.760351659137,16887.015967505024,2.3848391819636342e-132,0.03608820373825253
Broetchen,Saisonbrot,0.4335915589461262,0.43213299643697467,16866.996317288897,16887.251933134783,3.670775980649689e-132,0.0003731260509226995
Broetchen,Saisonbrot,0.4328650105089078,0.4314045770595746,16868.494866381116,16888.750482227002,3.730635371152738e-136,3.199038922894743e-05
Broetchen,Saisonbrot,0.4326942273142902,0.4312333540799064,16868.846838141428,16889.102453987314,7.130987317076726e-143,2.4373998051095764e-05
Broetchen,Saisonbrot,0.4326824477862272,0.43122154421829473,16868.871110986882,16889.12672683277,1.6672349039193123e-144,0.13018499431772879
Broetchen,Temp_Warm,0.43266151481841053,0.43120055734583995,16868.9142441278,16889.16985997369,7.134657908753307e-136,0.1338451603367526
Broetchen,Saisonbrot,0.43252409030197037,0.4310627789465248,16869.197372824845,16889.45298867073,1.9034367176647186e-143,2.390465171949093e-05
Broetchen,Saisonbrot,0.4324743887933661,0.43101294945120305,16869.29975341646,16889.555369262347,4.581028108525903e-142,2.85138853590251e-05
Broetchen,Saisonbrot,0.431981928908593,0.43100762689985994,16868.31369176223,16883.505403646646,1.7967371004714906e-144,2.0622630087474807e-05
Broetchen,Saisonbrot,0.4324355309972093,0.43097399159205196,16869.379790700754,16889.63540654664,1.3357179632554583e-142,2.16898658316182e-05
Broetchen,Saisonbrot,0.4323965937844234,0.4309349541117653,16869.45998606702,16889.715601912907,9.85345662791867e-144,2.5596081798963775e-05
Broetchen,Temp_Hot,0.43236746047623753,0.430905745782185,16869.51998564227,16889.775601488156,1.381940483147948e-142,0.1997884492657483
Broetchen,Saisonbrot,0.4323194472742222,0.43085760894102276,16869.61886133317,16889.874477179055,5.8227136322069414e-142,3.3329770396276624e-05
Broetchen,Saisonbrot,0.4322948305870836,0.4308329288632735,16869.669552312822,16889.92516815871,2.095087767874199e-143,2.0095158293286793e-05
Broetchen,Saisonbrot,0.43220768589494507,0.4307455597642025,16869.848984054042,16890.10459989993,3.129381558276165e-144,3.078877706961067e-05
Broetchen,Saisonbrot,0.4321908140951307,0.4307286445176933,16869.883720066602,16890.13933591249,4.7388462029413475e-127,1.798279019203391e-05
Broetchen,KielerWoche,0.43217759388084487,0.4307153902599372,16869.91093739766,16890.166553243547,3.6960953731247845e-143,0.2626998149405611
Broetchen,Saisonbrot,0.4321323481051321,0.43067002797149734,16870.0040830785,16890.259698924387,2.0503274999411912e-144,2.645601342709952e-05
Broetchen,Saisonbrot,0.4321294374256379,0.4306671097966911,16870.010074924656,16890.265690770542,4.6520606264387493e-144,1.9249148996620605e-05
Broetchen,Feiertag,0.43207012157894764,0.43060764120533124,16870.132174234255,16890.38779008014,2.6528855862891988e-142,0.30920042505674483
Broetchen,Saisonbrot,0.43206419315406885,0.43060169751412225,16870.144376959935,16890.399992805822,6.538132936631697e-144,2.2373256597523273e-05
Broetchen,is_holiday,0.4315655700266179,0.4305905538517064,16869.170258234386,16884.361970118804,3.563603249927373e-144,
Broetchen,Saisonbrot,0.432030407268711,0.4305678246264846,16870.21391743401,16890.4695332799,3.1021679213785697e-142,4.1040709472129205e-05
Broetchen,Saisonbrot,0.43202599069359005,0.43056339667820875,16870.22300763234,16890.478623478226,3.833671797718776e-144,2.1459088650742298e-05
Broetchen,Saisonbrot,0.43202224388217747,0.4305596402183548,16870.230719267067,16890.486335112953,2.2643213100069864e-143,2.0604295833531704e-05
