Feature 1,Feature 2,Feature 3,R²,Adjustiertes R²
Broetchen,Cloud_Partly_Cloudy,Weihnachtsmarkt,0.43158254117992423,0.4301188052344648
Broetchen,Weather_Good,Weihnachtsmarkt,0.431580835982442,0.43011709564591616
Broetchen,Temp_Very_Cold,Weihnachtsmarkt,0.4315721397091673,0.43010837697880466
Broetchen,Weather_Moderate,Weihnachtsmarkt,0.4315707124507978,0.4301069460450917
Broetchen,Mittwoch,Weihnachtsmarkt,0.43156835137602845,0.4301045788903015
Broetchen,Heimspiel,Weihnachtsmarkt,0.43156726728924544,0.4301034920118787
Broetchen,Freitag,Weihnachtsmarkt,0.43156677319049286,0.4301029966407688
Broetchen,Dienstag,Weihnachtsmarkt,0.43156579988985977,0.43010202083378213
Broetchen,VPI,Weihnachtsmarkt,0.4315656082621,0.4301018287125603
Brot,Broetchen,Temp_Mild,0.4311320861597655,0.4296671902442971
Brot,Broetchen,Temp_Warm,0.4310781199402475,0.4296130850559734
Brot,Broetchen,Weather_Unknown,0.43090940623188523,0.4294439368917099
Brot,Broetchen,Temp_Hot,0.43086632694502647,0.4294007466710652
Brot,Broetchen,Cloud_Cloudy,0.4307632096582673,0.4292973638462285
Brot,Broetchen,Weather_Light_Issues,0.4306918236374355,0.4292257939987336
Broetchen,Croissant,Temp_Cold,0.43066868956644655,0.42920260035502966
Brot,Broetchen,KielerWoche,0.4305513800741113,0.4290849887781648
Brot,Broetchen,Croissant,0.4304159421875515,0.42894920212451515
Brot,Broetchen,Cloud_Clear,0.4304107178066612,0.4289439642902835
Brot,Broetchen,is_holiday,0.42990665609657974,0.4289287944432292
Brot,Broetchen,Montag,0.43021788367313085,0.428750633588169
Brot,Broetchen,Markt,0.4302100762259574,0.42874280603598136
Brot,Broetchen,Wind_Moderate,0.43016983475916015,0.4287024609430894
Brot,Broetchen,Wind_Strong,0.43008270957135386,0.4286151113985762
Brot,Broetchen,Cloud_Partly_Cloudy,0.43003623797203483,0.42856852012990276
Brot,Broetchen,Donnerstag,0.42998358227635025,0.428515728840152
Brot,Broetchen,Wind_Light,0.4299607518161248,0.42849283958904194
Brot,Broetchen,Samstag,0.4299531094138468,0.42848517750675796
Brot,Broetchen,VPI,0.42994699532872727,0.42847904767721323
Brot,Broetchen,Weather_Severe,0.4299463250562796,0.42847837567874214
Brot,Broetchen,Freitag,0.4299462570043877,0.4284783074516093
Brot,Broetchen,Feiertag,0.42994418821399205,0.4284762333338564
Brot,Broetchen,Weather_Moderate,0.4299359845316121,0.4284680085261141
Brot,Broetchen,Dienstag,0.42992100711316616,0.42845299253920865
Brot,Broetchen,Weather_Good,0.4299117997600216,0.4284437614761418
Brot,Broetchen,Temp_Very_Cold,0.42990787086623394,0.4284398224650311
Brot,Broetchen,Mittwoch,0.429907020429522,0.4284389698383534
Brot,Broetchen,Heimspiel,0.4299068837014205,0.4284388327581624
Broetchen,Konditorei,Temp_Cold,0.42848135904329254,0.4270096372210864
Broetchen,Temp_Cold,Temp_Mild,0.4281117892567581,0.4266391157526982
Broetchen,Temp_Cold,Temp_Warm,0.4280746717530063,0.42660190266739173
Broetchen,Croissant,Konditorei,0.4280589709085536,0.4265861613915799
Broetchen,Temp_Cold,Feiertag,0.4280553202161409,0.4265825012982426
Broetchen,Temp_Cold,Temp_Hot,0.4280204039214113,0.42654749509030765
Broetchen,Temp_Cold,is_holiday,0.42739911718975654,0.42641695444051086
Broetchen,Temp_Cold,KielerWoche,0.42786510094935193,0.42639179219643186
Broetchen,Temp_Cold,Sonntag,0.42776973630744264,0.42629618198033736
Broetchen,Temp_Cold,Cloud_Cloudy,0.4277477836560982,0.4262741727985603
Broetchen,Temp_Cold,Wind_Moderate,0.42771532678877666,0.42624163235132284
Broetchen,Temp_Cold,Markt,0.42764192627995645,0.4261680428283169
Broetchen,Temp_Cold,Cloud_Clear,0.4276346793421083,0.42616077722882617
Broetchen,Temp_Cold,Wind_Strong,0.4276338049023567,0.42615990053729835
Broetchen,Temp_Cold,Weather_Unknown,0.42762955978076833,0.4261556444840665
Broetchen,Temp_Very_Cold,Temp_Cold,0.4275976647912352,0.4261236673615131
Broetchen,Temp_Cold,Weather_Light_Issues,0.42759472686197764,0.4261207218667724
Broetchen,Temp_Cold,Donnerstag,0.42750645406702314,0.42603222175989963
Broetchen,Temp_Cold,Wind_Light,0.4274550826034609,0.4259807180093067
Broetchen,Temp_Cold,Cloud_Partly_Cloudy,0.4274369249056298,0.4259625135534555
Broetchen,Temp_Cold,Weather_Severe,0.4274271423285241,0.4259527057851641
Broetchen,Temp_Cold,Mittwoch,0.4274247731616819,0.4259503305174631
Broetchen,Temp_Cold,Montag,0.42742383166827946,0.4259493865996141
Broetchen,Temp_Cold,VPI,0.4274164395674499,0.4259419754633318
Broetchen,Temp_Cold,Dienstag,0.42740662618744263,0.42593213681281805
Broetchen,Temp_Cold,Freitag,0.42740614636940744,0.4259316557591999
